,address,store,number,geometry.type,longtitude,latitude
117,"39-22 Main St
Flushing, NY 11354",CoCo Fresh Tea & Juice,106,Point,-73.8303626,40.7596332
118,"433 7th Ave
Brooklyn, NY 11215",Henry’s,104,Point,-73.9841732,40.6633859
119,"196 Court St
Brooklyn, NY 11201",Blossom Ice Cream,103,Point,-73.9938611,40.6872247
120,"2320 86th St
Gravesend, NY 11214",Yaya Tea Garden,102,Point,-73.9912327,40.6000702
121,"133-35 Roosevelt Ave
Ste 11
Flushing, NY 11354",Happy Lemon,99,Point,-73.8331304,40.7588339
122,"75 Mott St
New York, NY 10013",Ten Ren Tea,99,Point,-73.9982551,40.7164508
123,"123 E 7th St
New York, NY 10009",Tea Drunk,98,Point,-73.9841737,40.7264466
124,"372 Lafayette Ave
Clinton Hill, NY 11238",The Market,96,Point,-73.96049900000001,40.688567
125,"170 W 23rd St
New York, NY 10011",Vivi Bubble Tea,95,Point,-73.9954779,40.743773
126,"422 E 14th St
New York, NY 10009",Hawa Smoothies & Bubble Tea,95,Point,-73.9816026,40.7306377
127,"2878 Broadway
New York, NY 10025",Tea Magic,93,Point,-73.96558449999999,40.8052781
128,"107-50 Queens Blvd
Forest Hills, NY 11375",Fay Da Bakery,90,Point,-73.8446172,40.7212769
129,"79 Bayard St
New York, NY 10013",Sun’s Organic Garden,88,Point,-73.99876929999999,40.7156324
130,"226 E 14th St
New York, NY 10003",ViVi Bubble Tea,87,Point,-73.98620609999999,40.7326152
131,"33-17 30th Ave
Astoria, NY 11103",The Teapsy New York,87,Point,-73.91898599999999,40.766051
132,"225 Post Ave
Westbury, NY 11590",Nana’s Ice Cream & Coffee House,86,Point,-73.58812929999999,40.7568515
133,"636 Park Pl
Brooklyn, NY 11238",Banhmigos,86,Point,-73.9569925,40.6742351
134,"5817 8th Ave
Brooklyn, NY 11220",Ten Ren,85,Point,-74.0086784,40.6361946
135,"45-40 Bell Blvd
Bayside, NY 11361",CoCo Fresh Tea & Juice,84,Point,-73.768966,40.7591989
136,"3111 Broadway
New York, NY 10027",Culture Tea Bar,84,Point,-73.9607338,40.8129171
137,"858 Lexington Ave
New York, NY 10065",Chatime,84,Point,-73.9658192,40.7658058
138,"31 Waverly Pl
Ste 5
New York, NY 10003",Kung Fu Tea,83,Point,-73.995177,40.730607
139,"177-07 Union Tpke
Fresh Meadows, NY 11366",Crepe N Tearia,83,Point,-73.79062569999999,40.7263915
140,"41-26 27th St
Long Island City, NY 11101",RESOBOX,83,Point,-73.939082,40.7513042
141,"1430 Richmond Ave
Staten Island, NY 10314",Hawaii Poke Bowl,82,Point,-74.1589984,40.6134575
142,"5401 8th Ave
Brooklyn, NY 11220",Chi Ken,82,Point,-74.0059467,40.63865500000001
143,"1425 W 10th St
Bensonhurst, NY 11204",Arnor Crepes & Bubble Tea,82,Point,-73.983898,40.6105715
144,"2333 Hylan Blvd
Staten Island, NY 10306",Simple Asia,82,Point,-74.106267,40.5744055
145,"70-10 Austin St
Ste 3
Forest Hills, NY 11375",Kung Fu Tea,81,Point,-73.8468226,40.7206664
146,"39 W 32nd St
New York, NY 10001",Caffe Bene,79,Point,-73.9872958,40.7481614
147,"1095 St Niclolas Ave
New York, NY 10032",Rain II,79,Point,-73.94005229999999,40.8383712
148,"86-12 Justice Ave
Elmhurst, NY 11377",Kung Fu Tea,78,Point,-73.8769004,40.7379176
149,"570 Lexington Ave
New York, NY 10022",Bao By Kaya,78,Point,-73.9726033,40.7571519
